Text,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,DayOfWeek,TimePeriod,CleanedText,ComputedSentiment,ExtractedHashtags
" Intimidation by the challenges ahead, fear takes hold.",2021-10-22 18:30:00, FearfulJourney   ,Twitter, #Intimidation #FacingFear                   ,15.0,30.0,India,2021,10,22,18,Friday,Evening,intimidation by the challenges ahead fear takes hold,Neutral,"['#Intimidation', '#FacingFear']"
" Helplessness engulfs me, drowning in a sea of problems.",2019-05-08 14:20:00, OverwhelmedSoul  ,Instagram, #Helplessness #Struggling                   ,8.0,15.0,Australia,2019,5,8,14,Wednesday,Afternoon,helplessness engulfs me drowning in a sea of problems,Neutral,"['#Helplessness', '#Struggling']"
" Envy poisons my thoughts, coveting others' success.",2017-03-20 11:30:00, GreenEyedMonster ,Facebook, #Envy #Success                              ,10.0,20.0,Canada,2017,3,20,11,Monday,Morning,envy poisons my thoughts coveting others success,Positive,"['#Envy', '#Success']"
 Regret for decisions that led to a painful present.,2018-12-15 16:00:00, RegretfulMind    ,Twitter, #Regret #PastChoices                        ,12.0,25.0,Usa,2018,12,15,16,Saturday,Afternoon,regret for decisions that led to a painful present,Negative,"['#Regret', '#PastChoices']"
 Disgust at the corruption that stains society.     ,2016-07-01 09:45:00, CorruptedHeart   ,Instagram, #Disgust #Corruption                        ,7.0,15.0,Uk,2016,7,1,9,Friday,Morning,disgust at the corruption that stains society,Neutral,"['#Disgust', '#Corruption']"
" Sinking in despair, each day darker than the last. ",2020-08-20 20:20:00, DrowningSoul     ,Facebook, #Despair #DarkDays                          ,10.0,20.0,India,2020,8,20,20,Thursday,Evening,sinking in despair each day darker than the last,Neutral,"['#Despair', '#DarkDays']"
" Grief overwhelms, a storm of emotions within.      ",2021-02-25 15:30:00, StormyHeart      ,Twitter, #Grief #EmotionalStorm                      ,12.0,25.0,Canada,2021,2,25,15,Thursday,Afternoon,grief overwhelms a storm of emotions within,Negative,"['#Grief', '#EmotionalStorm']"
" Loneliness echoes in empty spaces, yearning for connection.",2019-09-12 18:10:00, EchoingSoul     ,Instagram, #Loneliness #YearningForConnection         ,15.0,30.0,Australia,2019,9,12,18,Thursday,Evening,loneliness echoes in empty spaces yearning for connection,Neutral,"['#Loneliness', '#YearningForConnection']"
" Jealousy poisons my thoughts, resentment brewing within.",2018-08-05 16:30:00, PoisonedMind    ,Facebook, #Jealousy #Resentment                       ,8.0,15.0,Usa,2018,8,5,16,Sunday,Afternoon,jealousy poisons my thoughts resentment brewing within,Neutral,"['#Jealousy', '#Resentment']"
" Resentment festers, a wound that refuses to heal.  ",2017-01-12 12:00:00, UnforgivingSoul  ,Twitter, #Resentment #Unforgiving                    ,10.0,20.0,India,2017,1,12,12,Thursday,Afternoon,resentment festers a wound that refuses to heal,Neutral,"['#Resentment', '#Unforgiving']"
" Frustration escalates, a thunderstorm of emotions. ",2022-04-05 14:45:00, ThunderingMind   ,Instagram, #Frustration #EmotionalOutburst            ,12.0,25.0,Uk,2022,4,5,14,Tuesday,Afternoon,frustration escalates a thunderstorm of emotions,Neutral,"['#Frustration', '#EmotionalOutburst']"
" Boredom lingers, a stagnant pool of indifference.  ",2021-10-02 19:00:00, StagnantHeart    ,Facebook, #Boredom #Stagnation                        ,7.0,15.0,Canada,2021,10,2,19,Saturday,Evening,boredom lingers a stagnant pool of indifference,Neutral,"['#Boredom', '#Stagnation']"
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",2023-04-15 10:15:00, InquisitiveMind   ,Twitter, #Curiosity #Learning                        ,15.0,30.0,Usa,2023,4,15,10,Saturday,Morning,embarking on a journey of discovery fueled by curiosity and a thirst for knowledge,Neutral,"['#Curiosity', '#Learning']"
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",2022-11-28 17:30:00, ApatheticObserver ,Instagram, #Indifference #DigitalOverload              ,7.0,15.0,Canada,2022,11,28,17,Monday,Evening,lost in the vast sea of information an indifferent wave in the digital ocean,Neutral,"['#Indifference', '#DigitalOverload']"
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",2020-04-02 09:45:00, SeekingClarity    ,Facebook, #Confusion #LifePuzzle                     ,10.0,20.0,Uk,2020,4,2,9,Thursday,Morning,the complex puzzle of life leaves me in a state of perpetual confusion seeking answers in the chaos,Negative,"['#Confusion', '#LifePuzzle']"
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",2021-08-10 14:00:00, EmotionallyDistant ,Twitter, #Numbness #EmotionalShield                 ,8.0,15.0,India,2021,8,10,14,Tuesday,Afternoon,a numbness settles over me a shield against the overwhelming emotions life throws my way,Positive,"['#Numbness', '#EmotionalShield']"
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",2019-06-18 20:45:00, SunsetDreamer     ,Instagram, #Melancholy #SunsetMoments                 ,12.0,25.0,Australia,2019,6,18,20,Tuesday,Evening,gazing at the sunset a melancholic longing for moments that slip through the fingers of time,Neutral,"['#Melancholy', '#SunsetMoments']"
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",2018-02-05 15:15:00, MemoryLaneTraveler ,Facebook, #Nostalgia #MemoryLane                     ,10.0,20.0,Usa,2018,2,5,15,Monday,Afternoon,revisiting old photographs caught in the embrace of nostalgias bittersweet symphony,Neutral,"['#Nostalgia', '#MemoryLane']"
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",2022-05-30 11:30:00, MixedFeelings     ,Twitter, #Ambivalence #UncertainChoices             ,12.0,25.0,Canada,2022,5,30,11,Monday,Morning,torn between conflicting emotions an ambivalence that paints my decisions in shades of uncertainty,Neutral,"['#Ambivalence', '#UncertainChoices']"
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",2023-01-10 16:20:00, ZenLifestyle      ,Instagram, #Acceptance #LifeJourney                   ,15.0,30.0,Uk,2023,1,10,16,Tuesday,Afternoon,embracing the ebb and flow of life finding acceptance in the dance of existence,Neutral,"['#Acceptance', '#LifeJourney']"
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",2020-09-18 13:45:00, ResilientSpirit   ,Facebook, #Determination #AchieveTheImpossible       ,10.0,20.0,India,2020,9,18,13,Friday,Afternoon,facing challenges headon a determination that fuels the fire within to achieve the impossible,Negative,"['#Determination', '#AchieveTheImpossible']"
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",2021-07-03 19:00:00, NatureSoul        ,Twitter, #Serenity #NatureRetreat                   ,12.0,25.0,Australia,2021,7,3,19,Saturday,Evening,serenity found in the stillness of nature a tranquil retreat from the chaos of the modern world,Positive,"['#Serenity', '#NatureRetreat']"
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",2022-10-08 08:15:00, EternalLearner    ,Instagram, #Curiosity #KnowledgeQuest                ,20.0,40.0,Usa,2022,10,8,8,Saturday,Morning,curiosity leading me down the rabbit hole of knowledge a perpetual student in lifes classroom,Negative,"['#Curiosity', '#KnowledgeQuest']"
" Floating through the day with an air of indifference, detached from the mundane happenings around. ",2023-03-22 16:30:00, AloofObserver     ,Facebook, #Indifference #FloatingThroughLife        ,10.0,20.0,Canada,2023,3,22,16,Wednesday,Afternoon,floating through the day with an air of indifference detached from the mundane happenings around,Negative,"['#Indifference', '#FloatingThroughLife']"
" Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",2021-05-15 11:45:00, ThoughtExplorer   ,Twitter, #Confusion #ThoughtLabyrinth              ,15.0,30.0,Uk,2021,5,15,11,Saturday,Morning,entangled in the web of thoughts confusion reigning as i navigate the labyrinth of ideas,Neutral,"['#Confusion', '#ThoughtLabyrinth']"
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",2019-12-28 14:30:00, StoicSoul         ,Instagram, #Numbness #StoicFacade                    ,8.0,15.0,Australia,2019,12,28,14,Saturday,Afternoon,numb to the chaos emotions locked away a stoic facade concealing the inner turmoil,Negative,"['#Numbness', '#StoicFacade']"
" Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",2020-03-01 19:00:00, DreamerInSilence  ,Facebook, #Melancholy #WhispersInTheBreeze         ,12.0,25.0,India,2020,3,1,19,Sunday,Evening,melancholy whispers in the breeze a silent conversation with the echoes of forgotten dreams,Neutral,"['#Melancholy', '#WhispersInTheBreeze']"
" Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",2018-07-10 15:45:00, JournalKeeper     ,Twitter, #Nostalgia #JournalMoments               ,10.0,20.0,Canada,2018,7,10,15,Tuesday,Afternoon,stumbling upon an old journal nostalgia flooding in waves carrying me to moments long gone,Neutral,"['#Nostalgia', '#JournalMoments']"
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",2022-01-05 10:30:00, ThreadWeaver      ,Instagram, #Ambivalence #ConflictingFeelings        ,12.0,25.0,Uk,2022,1,5,10,Wednesday,Morning,a tapestry of conflicting feelings weaving through uncertainty caught in the threads of ambivalence,Neutral,"['#Ambivalence', '#ConflictingFeelings']"
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",2021-08-20 16:20:00, SelfLoveAdvocate  ,Facebook, #Acceptance #SelfLoveJourney              ,15.0,30.0,Australia,2021,8,20,16,Friday,Afternoon,embracing the flaws finding acceptance in imperfection a journey towards selflove,Neutral,"['#Acceptance', '#SelfLoveJourney']"
" Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",2019-11-03 13:45:00, DreamChaser       ,Twitter, #Determination #DreamsIntoReality        ,18.0,35.0,Usa,2019,11,3,13,Sunday,Afternoon,determination burning like a wildfire overcoming obstacles turning dreams into reality,Neutral,"['#Determination', '#DreamsIntoReality']"
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",2020-04-12 19:30:00, OceanSoul         ,Instagram, #Serenity #OceanRetreat                   ,25.0,50.0,Canada,2020,4,12,19,Sunday,Evening,tranquil moments by the ocean serenity washing over a peaceful retreat within the waves embrace,Positive,"['#Serenity', '#OceanRetreat']"
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",2022-04-15 08:45:00, HorizonExplorer   ,Facebook, #Curiosity #NewHorizons                  ,22.0,45.0,India,2022,4,15,8,Friday,Morning,exploring new horizons with the spark of curiosity an adventurer in the vast landscape of knowledge,Neutral,"['#Curiosity', '#NewHorizons']"
" Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",2023-02-10 17:00:00, NonchalantSpirit  ,Twitter, #Indifference #DriftingThroughLife       ,9.0,18.0,Uk,2023,2,10,17,Friday,Evening,drifting through the day with a nonchalant demeanor embracing the art of indifference,Neutral,"['#Indifference', '#DriftingThroughLife']"
" Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",2020-08-05 12:15:00, ComplexThinker    ,Instagram, #Confusion #PerplexedMind                ,14.0,28.0,Australia,2020,8,5,12,Wednesday,Afternoon,wrestling with thoughts a perplexed mind lost in the labyrinth of lifes complexities,Positive,"['#Confusion', '#PerplexedMind']"
" Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",2021-12-01 15:30:00, ShieldedHeart     ,Facebook, #Numbness #EmotionalShield               ,10.0,20.0,Usa,2021,12,1,15,Wednesday,Afternoon,immersed in a state of emotional numbness a shield against the storm of daily struggles,Neutral,"['#Numbness', '#EmotionalShield']"
" A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",2019-03-25 21:00:00, SymphonySoul      ,Twitter, #Melancholy #WistfulHeart                ,13.0,26.0,Canada,2019,3,25,21,Monday,Evening,a melancholic symphony playing in the background the soundtrack of a wistful heart,Neutral,"['#Melancholy', '#WistfulHeart']"
" Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",2017-06-18 14:45:00, YearbookExplorer  ,Instagram, #Nostalgia #YearbookMemories            ,12.0,25.0,India,2017,6,18,14,Sunday,Afternoon,flipping through the pages of an old yearbook nostalgia painting smiles and tears on my face,Neutral,"['#Nostalgia', '#YearbookMemories']"
" Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",2022-07-08 11:30:00, DecisiveDilemma   ,Facebook, #Ambivalence #ShadesOfUncertainty       ,15.0,30.0,Australia,2022,7,8,11,Friday,Morning,torn between opposing emotions an ambivalence that colors my decisions with shades of uncertainty,Neutral,"['#Ambivalence', '#ShadesOfUncertainty']"
" Embracing life's imperfections, finding acceptance in the journey, scars and all. ",2023-05-15 16:20:00, ImperfectHarmony  ,Twitter, #Acceptance #ImperfectJourney            ,18.0,36.0,Canada,2023,5,15,16,Monday,Afternoon,embracing lifes imperfections finding acceptance in the journey scars and all,Neutral,"['#Acceptance', '#ImperfectJourney']"
" A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",2021-09-10 14:45:00, VisionarySpirit   ,Instagram, #Determination #UnparalleledHeights      ,20.0,40.0,Uk,2021,9,10,14,Friday,Afternoon,a fiery determination burning within fueled by the vision of reaching unparalleled heights,Neutral,"['#Determination', '#UnparalleledHeights']"
" Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",2020-02-28 18:30:00, ForestDreamer     ,Facebook, #Serenity #NatureWhispers                ,25.0,50.0,Usa,2020,2,28,18,Friday,Evening,basking in the serenity of a quiet forest where the whispers of nature bring peace to the soul,Neutral,"['#Serenity', '#NatureWhispers']"
" Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",2023-03-10 16:30:00, SilentSpectator   ,Instagram, #Indifference #SilentObserver            ,9.0,18.0,India,2023,3,10,16,Friday,Afternoon,indifferent to the noise of the world a silent observer in the midst of lifes cacophony,Neutral,"['#Indifference', '#SilentObserver']"
" Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",2021-05-02 11:45:00, MazeNavigator     ,Facebook, #Confusion #ThoughtLabyrinth              ,14.0,28.0,Australia,2021,5,2,11,Sunday,Morning,navigating through the labyrinth of thoughts confusion a constant companion in the maze of ideas,Neutral,"['#Confusion', '#ThoughtLabyrinth']"
" An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",2019-10-18 14:30:00, ResilientFortress ,Twitter, #Numbness #StoicResilience               ,11.0,22.0,Uk,2019,10,18,14,Friday,Afternoon,an impenetrable numbness shields me from the emotional storms a fortress of stoic resilience,Neutral,"['#Numbness', '#StoicResilience']"
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",2020-01-05 20:00:00, CanvasDreamer     ,Instagram, #Melancholy #BittersweetMemories         ,13.0,26.0,Usa,2020,1,5,20,Sunday,Evening,melancholy painting the world in hues of nostalgia a canvas of bittersweet memories,Neutral,"['#Melancholy', '#BittersweetMemories']"
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",2018-08-10 15:45:00, DiaryExplorer     ,Facebook, #Nostalgia #DiaryJourney                 ,12.0,25.0,Canada,2018,8,10,15,Friday,Afternoon,a journey into the past flipping through the pages of an old diary nostalgia taking the lead,Neutral,"['#Nostalgia', '#DiaryJourney']"
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",2022-01-15 10:30:00, CrossroadsTraveler ,Twitter, #Ambivalence #ConflictingEmotions        ,15.0,30.0,India,2022,1,15,10,Saturday,Morning,ambivalence clouding decisions caught in the crossroads of conflicting emotions,Neutral,"['#Ambivalence', '#ConflictingEmotions']"
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",2021-07-20 16:20:00, MosaicDreamer     ,Instagram, #Acceptance #BeautifulChaos              ,18.0,36.0,Australia,2021,7,20,16,Tuesday,Afternoon,embracing imperfections finding acceptance in the mosaic of lifes beautiful chaos,Positive,"['#Acceptance', '#BeautifulChaos']"
" Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",2019-12-03 13:45:00, PathfinderSpirit  ,Facebook, #Determination #ExtraordinaryPath        ,20.0,40.0,Usa,2019,12,3,13,Tuesday,Afternoon,determination as the driving force propelling me forward on the path to extraordinary achievements,Positive,"['#Determination', '#ExtraordinaryPath']"
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",2020-04-12 19:30:00, RaindropHarmony   ,Twitter, #Serenity #RaindropMelody                ,25.0,50.0,Canada,2020,4,12,19,Sunday,Evening,seeking serenity in the melody of raindrops a tranquil escape from the noise of everyday life,Negative,"['#Serenity', '#RaindropMelody']"
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",2022-05-08 08:45:00, SeekerOfUnknowns  ,Instagram, #Curiosity #SeekerOfKnowledge            ,22.0,45.0,Uk,2022,5,8,8,Sunday,Morning,curiosity driving the exploration of the unknown a seeker of knowledge in uncharted territories,Neutral,"['#Curiosity', '#SeekerOfKnowledge']"
" Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",2023-02-22 17:00:00, NonchalantWanderer,Facebook, #Indifference #DriftingThroughLife       ,9.0,18.0,India,2023,2,22,17,Wednesday,Evening,drifting through the day with an air of nonchalance indifferent to the trivialities of life,Neutral,"['#Indifference', '#DriftingThroughLife']"
" Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",2020-06-05 12:15:00, ShadowedSeeker    ,Twitter, #Confusion #LabyrinthOfThoughts          ,14.0,28.0,Australia,2020,6,5,12,Friday,Afternoon,lost in the labyrinth of thoughts confusion casting shadows on the quest for clarity,Neutral,"['#Confusion', '#LabyrinthOfThoughts']"
" Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",2021-11-30 15:30:00, TurbulentShield   ,Instagram, #Numbness #EmotionalStorms               ,10.0,20.0,Canada,2021,11,30,15,Tuesday,Afternoon,wrapped in the cloak of emotional numbness a shield against the storms of lifes turbulence,Neutral,"['#Numbness', '#EmotionalStorms']"
" Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",2019-02-25 21:00:00, WistfulPainter    ,Facebook, #Melancholy #WistfulYearning             ,13.0,26.0,Uk,2019,2,25,21,Monday,Evening,melancholy as a companion painting the canvas of life with the brushstrokes of wistful yearning,Neutral,"['#Melancholy', '#WistfulYearning']"
" Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",2017-05-18 14:45:00, TaleWeaver        ,Twitter, #Nostalgia #PhotoAlbumStories            ,12.0,25.0,Usa,2017,5,18,14,Thursday,Afternoon,leafing through the pages of an old photo album nostalgia weaving tales of laughter and tears,Neutral,"['#Nostalgia', '#PhotoAlbumStories']"
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",2022-08-05 11:30:00, CrossroadsExplorer,Instagram, #Ambivalence #CrossroadsConfusion        ,15.0,30.0,Canada,2022,8,5,11,Friday,Morning,ambivalence in the air caught between the crossroads of conflicting emotions and decisions,Neutral,"['#Ambivalence', '#CrossroadsConfusion']"
" Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",2023-06-15 16:20:00, MosaicArtist      ,Facebook, #Acceptance #UnpredictableArt            ,18.0,36.0,Australia,2023,6,15,16,Thursday,Afternoon,embracing the beauty in imperfections finding acceptance in the mosaic of lifes unpredictable art,Negative,"['#Acceptance', '#UnpredictableArt']"
" Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",2021-10-10 14:45:00, DreamSculptor     ,Twitter, #Determination #SculptingDreams          ,20.0,40.0,Uk,2021,10,10,14,Sunday,Afternoon,determination ablaze forging a path through challenges sculpting dreams into tangible realities,Neutral,"['#Determination', '#SculptingDreams']"
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",2020-05-12 19:30:00, MoonlitSoul       ,Instagram, #Serenity #MoonlitPeace                  ,25.0,50.0,Usa,2020,5,12,19,Tuesday,Evening,immerse in the serenity of a moonlit night where the quiet whispers of nature bring peace to the soul,Neutral,"['#Serenity', '#MoonlitPeace']"
" Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",2022-12-01 09:15:00, FearlessExplorer  ,Facebook, #Curiosity #FearlessExplorer              ,22.0,44.0,India,2022,12,1,9,Thursday,Morning,fueled by curiosity venturing into uncharted realms a fearless explorer of the mysteries of the world,Neutral,"['#Curiosity', '#FearlessExplorer']"
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",2021-11-30 15:30:00, TurbulentShield ,Instagram, #Numbness #EmotionalStorms ,10.0,20.0,Canada,2021,11,30,15,Tuesday,Afternoon,wrapped in the cloak of emotional numbness a shield against the storms of lifes turbulence,Neutral,"['#Numbness', '#EmotionalStorms']"
" Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",2018-07-12 17:45:00, JoyfulDancer ,Twitter, #Zest #CarefreeSpirit ,15.0,30.0,Usa,2018,7,12,17,Thursday,Evening,dancing through life with the exuberance of a carefree spirit embracing joy and zest at every turn,Positive,"['#Zest', '#CarefreeSpirit']"
" Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",2020-09-05 20:10:00, SereneBasker ,Facebook, #Contentment #GoldenGlow ,18.0,36.0,Australia,2020,9,5,20,Saturday,Evening,basking in the golden glow of contentment a serene river flowing through the landscape of the heart,Positive,"['#Contentment', '#GoldenGlow']"
" Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",2022-04-18 08:00:00, DreamPainter ,Instagram, #Hopeful #CanvasOfDreams ,12.0,24.0,India,2022,4,18,8,Monday,Morning,gazing towards the horizon with hopeful eyes painting a canvas of dreams illuminated by the sun of optimism,Neutral,"['#Hopeful', '#CanvasOfDreams']"
" Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",2019-12-10 12:20:00, OakAchiever ,Twitter, #Proud #BranchesOfAchievement ,25.0,50.0,Canada,2019,12,10,12,Tuesday,Afternoon,standing tall proud as an oak the branches of achievement reaching towards the sky of accomplishment,Positive,"['#Proud', '#BranchesOfAchievement']"
" A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",2023-02-28 09:45:00, HeartGardener ,Facebook, #Grateful #BlossomingConnection ,20.0,40.0,Usa,2023,2,28,9,Tuesday,Morning,a heart overflowing with gratitude a garden where appreciation blooms in the soil of kindness and connection,Neutral,"['#Grateful', '#BlossomingConnection']"
" Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",2018-04-03 14:15:00, ThreadWeaver ,Instagram, #Empathetic #TapestryOfUnderstanding ,15.0,30.0,Uk,2018,4,3,14,Tuesday,Afternoon,extending a hand empathetic threads weaving a tapestry of understanding embracing the joys and sorrows of others,Neutral,"['#Empathetic', '#TapestryOfUnderstanding']"
" Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",2022-06-20 10:30:00, CloudCaretaker ,Twitter, #Compassionate #ShowerOfEmpathy ,18.0,36.0,Australia,2022,6,20,10,Monday,Morning,compassionate clouds heavy with care showering empathy on the parched grounds of human suffering,Neutral,"['#Compassionate', '#ShowerOfEmpathy']"
" Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",2020-07-08 18:00:00, RainDancer ,Facebook, #Playful #DanceInTheRain ,22.0,44.0,Canada,2020,7,8,18,Wednesday,Evening,playfully dancing in the rain of laughter a whimsical spirit twirling in the puddles of joy and lightheartedness,Positive,"['#Playful', '#DanceInTheRain']"
" Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",2021-08-15 11:10:00, SkyPainter ,Instagram, #FreeSpirit #PaintingTheSky ,20.0,40.0,India,2021,8,15,11,Sunday,Morning,soaring on the wings of a free spirit unburdened by the chains of conformity painting the sky with independence,Positive,"['#FreeSpirit', '#PaintingTheSky']"
" Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",2019-10-25 16:50:00, PhoenixExplorer ,Twitter, #Inspired #CreativePhoenix ,15.0,30.0,Uk,2019,10,25,16,Friday,Afternoon,bathed in the glow of inspiration a creative phoenix rising from the ashes of ordinary thoughts to explore new realms,Positive,"['#Inspired', '#CreativePhoenix']"
" Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",2023-10-05 07:30:00, SunriseNavigator ,Facebook, #Hopeful #SunriseOfPossibilities ,12.0,24.0,Usa,2023,10,5,7,Thursday,Morning,navigating the sea of hope sailing towards the sunrise of possibilities confident in the ship of positive anticipation,Positive,"['#Hopeful', '#SunriseOfPossibilities']"
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",2022-02-15 13:15:00, SandStrider ,Instagram, #Confident #FootprintsOfAssuredness ,25.0,50.0,Australia,2022,2,15,13,Tuesday,Afternoon,striding with confidence footprints of selfassuredness imprinted on the sands of challenges conquered and victories claimed,Neutral,"['#Confident', '#FootprintsOfAssuredness']"
" Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",2021-05-08 22:00:00, NightSerenader ,Twitter, #Serenity #MoonlitSerenade ,13.0,26.0,Canada,2021,5,8,22,Saturday,Evening,lost in the symphony of the night a moonlit serenade that whispers tales of wanderlust and moonlit dreams,Neutral,"['#Serenity', '#MoonlitSerenade']"
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",2020-11-29 14:45:00, KnowledgeSeeker ,Instagram, #Curiosity #LabyrinthOfQuestions ,17.0,34.0,Usa,2020,11,29,14,Sunday,Afternoon,unveiling the layers of curiosity a labyrinth of questions leading to the treasure troves of undiscovered knowledge,Neutral,"['#Curiosity', '#LabyrinthOfQuestions']"
" In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",2019-09-14 10:20:00, BreezeWaltzer ,Facebook, #Ambivalence #AutumnWaltz ,14.0,28.0,Uk,2019,9,14,10,Saturday,Morning,in the embrace of the autumn breeze leaves of ambivalence dancing in a waltz between choices and uncertainties,Neutral,"['#Ambivalence', '#AutumnWaltz']"
" Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",2022-03-12 19:55:00, StarNavigator ,Twitter, #Grateful #GuidingStar ,19.0,38.0,Australia,2022,3,12,19,Saturday,Evening,gratitude as a guiding star navigating the constellation of blessings in the vast universe of lifes precious moments,Positive,"['#Grateful', '#GuidingStar']"
" With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",2023-03-30 16:30:00, MeadowSprinter ,Instagram, #Zest #FieldsOfEnthusiasm ,16.0,32.0,India,2023,3,30,16,Thursday,Afternoon,with a zestful heart sprinting through fields of enthusiasm chasing sunbeams and laughter in the meadows of joy,Positive,"['#Zest', '#FieldsOfEnthusiasm']"
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",2021-07-01 12:10:00, RainNurturer ,Facebook, #Compassionate #TearsOfEmpathy ,21.0,42.0,Canada,2021,7,1,12,Thursday,Afternoon,a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections,Neutral,"['#Compassionate', '#TearsOfEmpathy']"
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",2020-01-05 08:45:00, PeakConqueror ,Twitter, #Proud #ScalingPeaks ,23.0,46.0,Usa,2020,1,5,8,Sunday,Morning,proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success,Positive,"['#Proud', '#ScalingPeaks']"
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",2022-07-17 06:15:00, DawnGardener ,Instagram, #Hopeful #SeedsOfOptimism ,14.0,28.0,Uk,2022,7,17,6,Sunday,Morning,embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow,Neutral,"['#Hopeful', '#SeedsOfOptimism']"
